時間,設備,值
2024-10-12 16:08:58,SA-23/LED_LEVEL,10
2024-10-12 16:09:09,SA-23/LED_LEVEL,7
2024-10-12 16:09:10,SA-23/LED_LEVEL,6
2024-10-12 16:09:10,SA-23/LED_LEVEL,5
2024-10-12 16:09:10,SA-23/LED_LEVEL,10
2024-10-12 16:09:12,SA-23/LED_LEVEL,9
2024-10-12 16:09:12,SA-23/LED_LEVEL,6
2024-10-12 16:12:04,SA-23/LED_LEVEL,9
2024-10-12 16:12:05,SA-23/LED_LEVEL,7
2024-10-12 16:12:06,SA-23/LED_LEVEL,6
2024-10-12 16:12:06,SA-23/LED_LEVEL,4
2024-10-12 16:14:43,SA-23/LED_LEVEL,3
2024-10-12 16:14:44,SA-23/LED_LEVEL,0
2024-10-12 16:14:44,SA-23/LED_LEVEL,1
2024-10-12 16:14:45,SA-23/LED_LEVEL,5
2024-10-12 16:16:24,SA-23/LED_LEVEL,4
2024-10-12 16:16:24,SA-23/LED_LEVEL,0
2024-10-12 16:16:25,SA-23/LED_LEVEL,2
2024-10-12 16:16:25,SA-23/LED_LEVEL,6
2024-10-12 16:16:26,SA-23/LED_LEVEL,7
2024-10-12 16:16:26,SA-23/LED_LEVEL,8
2024-10-12 16:16:27,SA-23/LED_LEVEL,9
2024-10-12 16:16:31,SA-23/LED_LEVEL,9
2024-10-12 16:16:57,SA-23/LED_LEVEL,9
2024-10-12 16:16:59,SA-23/LED_LEVEL,8
2024-10-12 16:16:59,SA-23/LED_LEVEL,3
2024-10-12 16:17:00,SA-23/LED_LEVEL,8
2024-10-12 16:17:00,SA-23/LED_LEVEL,9
2024-10-12 16:17:22,SA-23/LED_LEVEL,9
2024-10-12 16:17:54,SA-23/LED_LEVEL,7
2024-10-12 16:17:55,SA-23/LED_LEVEL,4
2024-10-12 16:17:55,SA-23/LED_LEVEL,3
2024-10-12 16:17:56,SA-23/LED_LEVEL,6
2024-10-12 16:17:57,SA-23/LED_LEVEL,9
