時間,設備,值
2024-10-19 10:38:43,SA-23/LED_LEVEL,2
2024-10-19 10:39:26,SA-23/LED_LEVEL,1
2024-10-19 10:39:27,SA-23/LED_LEVEL,2
2024-10-19 10:39:33,SA-23/LED_LEVEL,0
2024-10-19 10:39:33,SA-23/LED_LEVEL,2
2024-10-19 10:39:40,SA-23/LED_LEVEL,10
2024-10-19 10:39:40,SA-23/LED_LEVEL,8
2024-10-19 10:39:44,SA-23/LED_LEVEL,3
2024-10-19 10:39:45,SA-23/LED_LEVEL,2
2024-10-19 10:39:45,SA-23/LED_LEVEL,0
2024-10-19 10:39:46,SA-23/LED_LEVEL,3
2024-10-19 10:39:50,SA-23/LED_LEVEL,0
2024-10-19 10:39:51,SA-23/LED_LEVEL,4
2024-10-19 10:39:51,SA-23/LED_LEVEL,5
2024-10-19 10:39:52,SA-23/LED_LEVEL,10
2024-10-19 10:39:53,SA-23/LED_LEVEL,8
2024-10-19 10:39:53,SA-23/LED_LEVEL,6
2024-10-19 10:39:54,SA-23/LED_LEVEL,4
2024-10-19 10:40:52,SA-23/LED_LEVEL,0
2024-10-19 10:40:53,SA-23/LED_LEVEL,4
2024-10-19 10:41:21,SA-23/LED_LEVEL,2
2024-10-19 10:41:22,SA-23/LED_LEVEL,0
2024-10-19 10:41:22,SA-23/LED_LEVEL,1
2024-10-19 10:41:23,SA-23/LED_LEVEL,5
2024-10-19 10:41:23,SA-23/LED_LEVEL,8
2024-10-19 10:41:24,SA-23/LED_LEVEL,9
2024-10-19 10:41:24,SA-23/LED_LEVEL,3
2024-10-19 10:41:25,SA-23/LED_LEVEL,1
2024-10-19 10:41:25,SA-23/LED_LEVEL,0
2024-10-19 10:42:27,SA-23/LED_LEVEL,1
2024-10-19 10:42:28,SA-23/LED_LEVEL,2
2024-10-19 11:02:08,SA-23/LED_LEVEL,4
2024-10-19 11:02:09,SA-23/LED_LEVEL,5
2024-10-19 11:02:10,SA-23/LED_LEVEL,3
2024-10-19 11:02:11,SA-23/LED_LEVEL,1
2024-10-19 11:02:11,SA-23/LED_LEVEL,2
2024-10-19 11:02:12,SA-23/LED_LEVEL,3
2024-10-19 11:02:13,SA-23/LED_LEVEL,4
2024-10-19 11:07:47,SA-23/LED_LEVEL,5
2024-10-19 11:07:48,SA-23/LED_LEVEL,8
2024-10-19 11:07:48,SA-23/LED_LEVEL,9
2024-10-19 11:07:49,SA-23/LED_LEVEL,7
2024-10-19 11:07:49,SA-23/LED_LEVEL,4
2024-10-19 11:07:57,SA-23/LED_LEVEL,1
2024-10-19 11:07:58,SA-23/LED_LEVEL,3
2024-10-19 11:07:59,SA-23/LED_LEVEL,6
