時間,設備,值
2024-10-19 11:57:21,SA-23/LED_LEVEL,6
2024-10-19 13:56:52,SA-23/LED_LEVEL,6
2024-10-19 13:56:56,SA-23/LED_LEVEL,7
2024-10-19 13:56:57,SA-23/LED_LEVEL,8
2024-10-19 14:19:24,SA-23/LED_LEVEL,8
2024-10-19 14:19:25,SA-23/TEMPERATURE,28.92
2024-10-19 14:19:34,SA-23/LED_LEVEL,9
2024-10-19 14:19:35,SA-23/LED_LEVEL,6
2024-10-19 14:19:51,SA-23/LED_LEVEL,6
2024-10-19 14:19:51,SA-23/TEMPERATURE,28.92
2024-10-19 14:20:10,SA-23/LED_LEVEL,6
2024-10-19 14:20:12,SA-23/TEMPERATURE,28.92
2024-10-19 14:21:04,SA-23/TEMPERATURE,29.39
2024-10-19 14:21:06,SA-23/TEMPERATURE,28.92
2024-10-19 14:21:14,SA-23/TEMPERATURE,29.39
2024-10-19 14:21:16,SA-23/TEMPERATURE,28.92
2024-10-19 14:21:24,SA-23/LED_LEVEL,7
2024-10-19 14:21:25,SA-23/LED_LEVEL,9
2024-10-19 14:21:25,SA-23/LED_LEVEL,7
2024-10-19 14:21:26,SA-23/LED_LEVEL,5
2024-10-19 14:21:26,SA-23/LED_LEVEL,3
2024-10-19 14:21:27,SA-23/LED_LEVEL,4
2024-10-19 14:21:27,SA-23/LED_LEVEL,7
2024-10-19 14:23:18,SA-23/TEMPERATURE,29.39
2024-10-19 14:23:22,SA-23/TEMPERATURE,28.92
2024-10-19 14:23:46,SA-23/TEMPERATURE,29.39
2024-10-19 14:23:48,SA-23/TEMPERATURE,28.92
2024-10-19 14:23:54,SA-23/TEMPERATURE,29.39
2024-10-19 14:23:56,SA-23/TEMPERATURE,28.92
2024-10-19 14:24:02,SA-23/TEMPERATURE,29.85
2024-10-19 14:24:04,SA-23/TEMPERATURE,28.92
2024-10-19 14:24:06,SA-23/TEMPERATURE,29.39
2024-10-19 14:24:10,SA-23/TEMPERATURE,28.92
2024-10-19 14:24:12,SA-23/TEMPERATURE,29.39
2024-10-19 14:24:18,SA-23/TEMPERATURE,28.92
2024-10-19 14:24:20,SA-23/TEMPERATURE,29.39
2024-10-19 14:24:22,SA-23/TEMPERATURE,28.92
2024-10-19 14:24:26,SA-23/TEMPERATURE,29.39
2024-10-19 14:24:28,SA-23/TEMPERATURE,28.92
2024-10-19 14:24:36,SA-23/TEMPERATURE,29.39
2024-10-19 14:24:40,SA-23/TEMPERATURE,28.92
2024-10-19 14:24:48,SA-23/TEMPERATURE,29.39
2024-10-19 14:24:50,SA-23/TEMPERATURE,28.92
2024-10-19 14:24:56,SA-23/TEMPERATURE,29.85
2024-10-19 14:24:58,SA-23/TEMPERATURE,28.92
2024-10-19 14:25:00,SA-23/TEMPERATURE,29.85
2024-10-19 14:25:02,SA-23/TEMPERATURE,28.92
2024-10-19 14:25:08,SA-23/TEMPERATURE,29.39
2024-10-19 14:25:18,SA-23/TEMPERATURE,28.92
2024-10-19 14:25:23,SA-23/TEMPERATURE,29.39
2024-10-19 14:25:24,SA-23/TEMPERATURE,28.92
2024-10-19 14:25:26,SA-23/TEMPERATURE,29.39
2024-10-19 14:25:28,SA-23/TEMPERATURE,28.92
2024-10-19 14:25:30,SA-23/TEMPERATURE,29.39
2024-10-19 14:25:34,SA-23/TEMPERATURE,28.92
2024-10-19 14:25:46,SA-23/TEMPERATURE,29.39
2024-10-19 14:25:48,SA-23/TEMPERATURE,28.92
2024-10-19 14:25:50,SA-23/TEMPERATURE,29.39
2024-10-19 14:25:52,SA-23/TEMPERATURE,28.92
2024-10-19 14:26:04,SA-23/TEMPERATURE,29.39
2024-10-19 14:26:06,SA-23/TEMPERATURE,28.92
2024-10-19 14:26:22,SA-23/TEMPERATURE,29.39
2024-10-19 14:26:24,SA-23/TEMPERATURE,28.92
2024-10-19 14:26:36,SA-23/TEMPERATURE,29.85
2024-10-19 14:26:38,SA-23/TEMPERATURE,28.92
2024-10-19 14:26:40,SA-23/TEMPERATURE,29.39
2024-10-19 14:26:44,SA-23/TEMPERATURE,28.92
2024-10-19 14:26:50,SA-23/TEMPERATURE,29.39
2024-10-19 14:26:52,SA-23/TEMPERATURE,28.92
2024-10-19 14:26:56,SA-23/TEMPERATURE,29.39
2024-10-19 14:26:58,SA-23/TEMPERATURE,28.92
2024-10-19 14:27:08,SA-23/TEMPERATURE,29.39
2024-10-19 14:27:10,SA-23/TEMPERATURE,28.92
2024-10-19 14:27:18,SA-23/TEMPERATURE,29.39
2024-10-19 14:27:20,SA-23/TEMPERATURE,28.92
